ts,PID,MINFLT,MAJFLT,VSTEXT,VSIZE,RSIZE,VGROW,RGROW,MEM,CMD,class
1666542335,2552,14,0,293,782.4,15793.0,6.0,1.0,0.0,bamfdaemon,normal
1666542395,1534,286,0,2231,907.7,531.6,16138.0,1229.0,0.08,Xorg,normal
1666542605,3885,44,0,990,175.6,18873.0,6.0,1.0,0.0,drone,normal
1666542625,2934,15,0,362,488.2,7453.0,6.0,1.0,0.0,mission-contro,normal
1666542650,1943,14,0,48,332.8,4625.0,6.0,1.0,0.0,vmtoolsd,normal
1666542820,1534,15,0,2231,890.3,532.4,6.0,1.0,0.08,Xorg,normal
1666543150,3289,14,0,205,175.6,652.0,6.0,269.0,0.11,SLAM,normal
1666543370,2889,14,0,1362,174.4,342.6,6.0,1.0,0.03,nautilus,normal
1666543380,2866,26,0,22,174.3,93229.0,22.0,1.0,0.02,compiz,normal
1666543400,3885,15,0,990,175.6,19521.0,1034.0,125.0,0.01,drone,normal
1666543460,2842,14,0,12,173.0,233.0,6.0,1.0,0.0,worer/3:2,normal
1666543495,1575,14,0,10427,710.4,54577.0,6.0,1.0,0.01,navigation,normal
1666543655,2876,14,0,136,868.6,18157.0,6.0,1.0,0.0,goa-daemon,normal
1666543785,2593,14,0,160,526.5,4789.0,6.0,1.0,0.0,ibus-daemon,normal
1666543805,3767,1108,0,160,18125.0,2669.0,6.0,1.0,0.0,atop,normal
1666544270,2880,14,0,16,1030.6,46969.0,6.0,1.0,0.01,evolution-cale,normal
1666544385,1463,19,0,48,19469.0,1053.0,6.0,1.0,0.0,irqbalance,normal
1666544440,3960,251,1,12,173.0,233.0,6.0,1.0,0.0,<mtemp>,normal
1666544540,3980,255,1,12,173.0,233.0,6.0,1.0,0.0,<run-parts>,normal
1666544635,4009,557,0,12,173.0,233.0,6.0,1.0,0.0,<gpgv>,normal
1666544900,2934,15,0,362,488.2,7453.0,6.0,1.0,0.0,mission-contro,normal
1666545110,3990,14,0,88,42393.0,2485.0,6.0,1.0,0.0,http,normal
1666545115,1463,19,0,48,19469.0,1053.0,6.0,1.0,0.0,irqbalance,normal
1666545215,1463,19,0,48,19469.0,1053.0,6.0,1.0,0.0,irqbalance,normal
1666545440,3768,2094,0,160,17821.0,2649.0,6.0,1.0,0.0,atop,normal
1666545505,4044,229,0,12,173.0,233.0,6.0,1.0,0.0,<bash>,normal
1666545525,4047,294,0,12,173.0,233.0,6.0,1.0,0.0,<lesspipe>,normal
1666545545,4054,309,3,12,173.0,233.0,6.0,1.0,0.0,<ls>,normal
1666545705,3178,14,0,61,800.8,18537.0,6.0,29.0,0.0,update-notifie,normal
1666545710,2893,14,0,139,627.3,18317.0,6.0,45.0,0.0,tracer-store,normal
1666545855,1431,22,0,59,670.2,5413.0,6.0,21.0,0.0,whoopsie,normal
1666545895,3271,14,0,968,27481.0,4501.0,6.0,5.0,0.0,bash,normal
1666545980,2419,14,0,257,40469.0,2773.0,6.0,125.0,0.0,init,normal
1666546010,3990,14,0,88,42393.0,2485.0,6.0,1.0,0.0,http,normal
1666546015,3991,16,0,88,42393.0,2473.0,6.0,1.0,0.0,http,normal
1666546125,4075,469,0,12,173.0,233.0,6.0,1.0,0.0,<dumpcap>,normal
1666546320,1575,14,0,10427,710.4,53641.0,6.0,1.0,0.01,navigation,normal
1666546330,3882,14,0,2144,175.4,34869.0,6.0,1.0,0.01,ostinato,normal
1666546340,3247,48,0,292,884.5,24201.0,6.0,1.0,0.01,gnome-terminal,normal
1666546450,4057,36,1,968,27481.0,4477.0,6.0,1.0,0.0,bash,normal
1666546495,2512,14,0,427,40385.0,2537.0,6.0,1.0,0.0,dbus-daemon,normal
1666546505,4132,1022,0,29,33845.0,2289.0,33678.0,2057.0,0.0,bzip2,normal
1666546750,2680,14,0,85,550.8,6485.0,6.0,1177.0,0.0,ibus-x11,normal
1666546760,3000,14,0,51,596.1,6025.0,6.0,161.0,0.0,gvfsd-trash,normal
1666546785,2100,14,0,608,357.3,5641.0,6.0,21.0,0.0,atop,normal
1666546805,2168,14,0,229,467.6,5449.0,6.0,461.0,0.0,colord,normal
1666546875,2790,14,0,369,981.8,4117.0,6.0,165.0,0.0,indicator-sess,normal
1666546915,1155,14,0,56,75537.0,3537.0,6.0,129.0,0.0,cups-browsed,normal
1666547080,1686,14,0,130,39861.0,1193.0,6.0,41.0,0.0,rb5dc,normal
1666547195,2639,14,0,78,879.7,21913.0,6.0,1.0,0.01,unity-panel-se,normal
1666547320,2880,14,0,16,1030.6,45549.0,6.0,1.0,0.01,evolution-cale,normal
1666547330,3885,14,0,990,175.9,18641.0,6.0,1.0,0.0,drone,normal
1666547350,4132,16,0,29,37465.0,5849.0,10.0,1.0,0.0,bzip2,normal
1666547355,1431,22,0,59,670.2,5373.0,6.0,1.0,0.0,whoopsie,normal
1666547370,3770,1955,0,160,18121.0,2733.0,6.0,1.0,0.0,atop,normal
1666547395,3991,14,0,88,42393.0,2473.0,6.0,1.0,0.0,http,normal
1666547450,1575,14,0,10427,710.4,48917.0,6.0,1.0,0.01,navigation,normal
1666547475,3885,14,0,990,175.9,18641.0,6.0,1.0,0.0,drone,normal
1666547610,1575,14,0,10427,710.4,48917.0,6.0,1.0,0.01,navigation,normal
1666547630,2625,14,0,601,805.5,21549.0,6.0,1.0,0.01,hud-service,normal
1666547765,2889,15,0,1362,174.4,341.2,6.0,1.0,0.03,nautilus,normal
1666547840,1760,14,0,24,9653.0,3669.0,6.0,1.0,0.0,haveged,normal
1666547885,4163,666,0,29,33845.0,2309.0,33678.0,2077.0,0.0,gzip,normal
1666547935,3885,14,0,990,175.9,18641.0,6.0,1.0,0.0,drone,normal
1666547980,1463,19,0,48,19469.0,1053.0,6.0,1.0,0.0,irqbalance,normal
1666548110,2866,14,0,22,174.3,80881.0,6.0,1.0,0.02,compiz,normal
1666548235,3403,14,0,30,614.1,4505.0,6.0,1.0,0.0,deja-dup-monit,normal
1666548380,1534,14,0,2231,927.0,531.2,6.0,1.0,0.08,Xorg,normal
1666548760,2772,14,0,100,500.2,7141.0,6.0,21.0,0.0,indicator-mess,normal
1666548830,2800,14,0,47,525.1,5185.0,6.0,41.0,0.0,indicator-appl,normal
1666548970,1155,14,0,56,75537.0,3269.0,6.0,269.0,0.0,cups-browsed,normal
1666549065,1911,14,0,44,25517.0,1449.0,6.0,381.0,0.0,master,normal
1666549150,1686,14,0,130,39861.0,1085.0,6.0,109.0,0.0,rb5dc,normal
1666549340,3349,11013,0,205,174.7,428.2,6.0,6341.0,0.05,Web-Content,normal
1666549470,2901,14,0,48,554.0,9457.0,6.0,1.0,0.0,vmtoolsd,normal
1666549510,1534,14,0,2231,927.0,527.0,6.0,1.0,0.08,Xorg,normal
1666549905,2625,14,0,601,805.5,19733.0,6.0,1.0,0.01,hud-service,normal
1666549970,3085,15,2,139,419.5,8005.0,6.0,1.0,0.0,zeitgeist-fts,normal
1666550005,3403,14,0,30,614.1,4301.0,6.0,1.0,0.0,deja-dup-monit,normal
1666550030,3985,20,0,136,36897.0,3249.0,6.0,1.0,0.0,apt-get,normal
1666550100,4200,471,0,12,173.0,233.0,6.0,1.0,0.0,<dumpcap>,normal
1666550160,2615,14,0,43,1104.9,18297.0,6.0,1.0,0.0,unity-settings,normal
1666550270,2512,25,0,427,40385.0,2517.0,6.0,1.0,0.0,dbus-daemon,normal
1666550330,2880,14,0,16,1030.6,43609.0,6.0,153.0,0.01,evolution-cale,normal
1666550425,3074,14,0,131,645.7,11021.0,6.0,209.0,0.0,zeitgeist-data,normal
1666550490,2680,14,0,85,550.8,6017.0,6.0,61.0,0.0,ibus-x11,normal
1666550540,2168,14,0,229,467.6,4753.0,6.0,513.0,0.0,colord,normal
1666550570,3403,14,0,30,614.1,4073.0,6.0,229.0,0.0,deja-dup-monit,normal
1666550595,3827,14,0,968,27481.0,3913.0,6.0,581.0,0.0,bash,normal
1666550730,2777,14,0,86,517.0,3165.0,6.0,113.0,0.0,indicator-powe,normal
1666550930,3255,14,0,22,14997.0,965.0,6.0,85.0,0.0,gnome-pty-help,normal
1666550950,1348,14,0,37,20185.0,929.0,6.0,229.0,0.0,getty,normal
1666551185,2629,14,0,235,815.3,10501.0,6.0,177.0,0.0,gnome-session,normal
1666551290,2168,14,0,229,467.6,4701.0,6.0,53.0,0.0,colord,normal
1666551370,3256,14,0,968,27465.0,3593.0,6.0,313.0,0.0,bash,normal
1666551385,2675,14,0,23,447.3,3537.0,6.0,29.0,0.0,ibus-dconf,normal
1666551420,2845,14,0,18,373.3,3421.0,6.0,45.0,0.0,ibus-engine-si,normal
1666551525,2529,14,0,251,78501.0,2213.0,6.0,965.0,0.0,window-stac-b,normal
1666551620,2523,14,0,127,22473.0,1229.0,6.0,25.0,0.0,upstart-event-,normal
1666551915,2789,70,4,59,681.4,10773.0,6.0,21.0,0.0,indicator-prin,normal
1666551995,2934,17,1,362,488.2,4965.0,6.0,5.0,0.0,mission-contro,normal
1666552115,2655,14,0,38,510.6,3181.0,6.0,21.0,0.0,gvfsd-fuse,normal
1666552335,3990,802,1,12,173.0,233.0,6.0,1.0,0.0,<http>,normal
1666552340,3991,798,1,12,173.0,233.0,6.0,1.0,0.0,<http>,normal
1666552455,4249,349,1,12,173.0,233.0,6.0,1.0,0.0,<du>,normal
1666552540,4267,296,0,12,173.0,233.0,6.0,1.0,0.0,<grep>,normal
1666552595,4281,285,0,12,173.0,233.0,6.0,1.0,0.0,<grep>,normal
1666552655,4289,74,0,12,173.0,233.0,6.0,1.0,0.0,<invoe-rc.d>,normal
1666552800,4323,202,0,12,173.0,233.0,6.0,1.0,0.0,<echo>,normal
1666552870,4336,362,0,12,173.0,233.0,6.0,1.0,0.0,<aw>,normal
1666553105,3074,14,0,131,645.7,8641.0,6.0,2317.0,0.0,zeitgeist-data,normal
1666553175,2975,16,1,81,452.3,4901.0,6.0,517.0,0.0,gvfs-afc-volum,normal
1666553200,2593,14,0,160,526.5,3689.0,6.0,897.0,0.0,ibus-daemon,normal
1666553365,3767,2130,0,160,18121.0,2749.0,6.0,1.0,0.0,atop,normal
1666553485,2575,14,0,427,39565.0,1669.0,6.0,273.0,0.0,dbus-daemon,normal
1666553650,2589,14,0,133,22481.0,785.0,6.0,37.0,0.0,upstart-dbus-b,normal
1666553685,4311,249,0,12,173.0,233.0,6.0,1.0,0.0,<sh>,normal
1666553915,3844,14,0,971,287.7,332.0,6.0,1.0,0.03,tcpdump,normal
1666554105,2966,14,0,84,380.5,4345.0,6.0,201.0,0.0,gvfs-gphoto2-v,normal
1666554185,2099,14,0,608,357.3,3309.0,6.0,25.0,0.0,atop,normal
1666554255,3770,2096,0,160,18121.0,2841.0,6.0,5.0,0.0,atop,normal
1666554290,1225,14,0,19,447.6,2693.0,6.0,241.0,0.0,politd,normal
1666554305,2529,186,24,251,78501.0,2561.0,6.0,445.0,0.0,window-stac-b,normal
1666554390,1155,14,0,56,75537.0,1749.0,6.0,365.0,0.0,cups-browsed,normal
1666554560,2589,14,0,133,22481.0,693.0,6.0,93.0,0.0,upstart-dbus-b,normal
1666554615,3844,14,0,971,287.7,332.0,6.0,1.0,0.03,tcpdump,normal
1666554670,3770,2069,0,160,18121.0,2841.0,6.0,1.0,0.0,atop,normal
1666554845,4425,266,0,12,173.0,233.0,6.0,1.0,0.0,<mdir>,normal
1666554925,3885,14,0,990,175.9,13101.0,6.0,1.0,0.0,drone,normal
1666554935,2615,41,4,43,1104.9,11409.0,6.0,1.0,0.0,unity-settings,normal
1666555050,2781,69,8,671,1117.5,9317.0,6.0,233.0,0.0,indicator-date,normal
1666555240,3058,14,0,39,617.4,6753.0,6.0,1.0,0.0,telepathy-indi,normal
1666555255,2876,14,0,136,868.6,5541.0,6.0,1.0,0.0,goa-daemon,normal
1666555270,2593,14,0,160,526.5,3809.0,6.0,1.0,0.0,ibus-daemon,normal
1666555290,1760,14,0,24,9653.0,3029.0,6.0,1.0,0.0,haveged,normal
1666555315,3768,2069,0,160,18193.0,2809.0,6.0,1.0,0.0,atop,normal
1666555405,3289,697,14,205,175.3,505.8,6.0,393.0,0.07,SLAM,normal
1666555610,3770,2077,0,160,18121.0,2841.0,6.0,1.0,0.0,atop,normal
1666555760,2552,14,0,293,782.8,11589.0,6.0,1.0,0.0,bamfdaemon,normal
1666555820,3770,2064,0,160,18121.0,2841.0,6.0,1.0,0.0,atop,normal
1666555985,2615,14,0,43,1104.9,11609.0,6.0,61.0,0.0,unity-settings,normal
1666556045,3000,14,0,51,596.1,4741.0,6.0,9.0,0.0,gvfsd-trash,normal
1666556115,3768,2064,0,160,18193.0,2809.0,6.0,1.0,0.0,atop,normal
1666556260,1650,14,0,94,39829.0,513.0,6.0,21.0,0.0,admind,normal
1666556450,1943,14,0,48,332.8,2237.0,6.0,1.0,0.0,vmtoolsd,normal
1666556495,3844,794,5,971,287.7,332.0,120.7,100.0,0.03,tcpdump,normal
1666556515,2880,12040,11,16,1030.6,40893.0,863.6,40661.0,0.01,evolution-cale,normal
1666556600,2862,2856,3,205,505.4,8433.0,338.4,8201.0,0.0,notify-osd,normal
1666556615,2886,2831,10,45,638.9,8221.0,471.9,7989.0,0.0,unity-fallbac,normal
1666556680,2558,1106,0,25,502.7,4393.0,335.7,4161.0,0.0,at-spi-bus-lau,normal
1666556835,3767,156481,0,160,18121.0,2837.0,17954.0,2605.0,0.0,atop,normal
1666557020,1155,1158,3,56,75537.0,1413.0,75370.0,1181.0,0.0,cups-browsed,normal
1666557170,1787,123,1,18,6657.0,569.0,6490.0,337.0,0.0,netatopd,normal
1666557240,3289,35,8,205,175.3,505.8,6.0,1.0,0.07,SLAM,normal
1666557405,2512,14,0,427,40385.0,2473.0,6.0,1.0,0.0,dbus-daemon,normal
1666557460,4471,15,0,12,173.0,233.0,6.0,1.0,0.0,<atop>,normal
1666557480,3844,14,0,971,287.7,332.0,6.0,1.0,0.03,tcpdump,normal
1666557580,3769,2080,0,160,18121.0,2845.0,6.0,1.0,0.0,atop,normal
1666557590,3767,2080,0,160,18121.0,2837.0,6.0,1.0,0.0,atop,normal
1666557675,3844,14,0,971,287.7,332.0,6.0,1.0,0.03,tcpdump,normal
1666557725,3885,14,0,990,175.9,13101.0,6.0,1.0,0.0,drone,normal
1666557815,1431,14,0,59,670.2,2757.0,6.0,5.0,0.0,whoopsie,normal
1666557855,2023,14,0,161,406.8,2257.0,6.0,257.0,0.0,upowerd,normal
1666557915,1534,159,0,2231,931.0,500.1,6.0,1.0,0.07,Xorg,normal
1666558015,2027,14,0,608,357.2,7517.0,6.0,1337.0,0.0,atop,normal
1666558050,2934,14,0,362,488.2,3273.0,6.0,5.0,0.0,mission-contro,normal
1666558110,2845,14,0,18,373.3,2377.0,6.0,1.0,0.0,ibus-engine-si,normal
1666558350,3289,602,0,205,175.3,505.9,6.0,93.0,0.07,SLAM,normal
1666558475,1431,18,0,59,670.2,2757.0,6.0,1.0,0.0,whoopsie,normal
1666558545,2889,25,1,1362,174.4,99061.0,6.0,5.0,0.03,nautilus,normal
1666558555,3211,14,0,3075,898.9,59545.0,6.0,1.0,0.02,update-manager,normal
1666558895,2880,14,0,16,1030.6,40893.0,6.0,1.0,0.01,evolution-cale,normal
1666559155,3349,11284,0,205,174.7,385.0,6.0,6957.0,0.04,Web-Content,normal
1666559355,2901,14,0,48,554.0,5165.0,6.0,1.0,0.0,vmtoolsd,normal
1666559435,3844,14,0,971,287.7,332.0,6.0,1.0,0.03,tcpdump,normal
1666559460,3882,68,4,2144,175.4,28509.0,2254.0,2109.0,0.01,ostinato,normal
1666559555,4465,2079,0,160,17817.0,2597.0,6.0,1.0,0.0,atop,normal
1666559840,3769,2080,0,160,18121.0,2845.0,6.0,1.0,0.0,atop,normal
1666559940,2889,22,0,1362,174.4,99061.0,6.0,1.0,0.03,nautilus,normal
1666559955,1575,14,0,10427,710.4,24129.0,6.0,1.0,0.01,navigation,normal
1666560020,4467,1727,0,160,17813.0,2609.0,10.0,1.0,0.0,atop,normal
1666560040,2529,14,0,251,78501.0,2561.0,6.0,1.0,0.0,window-stac-b,normal
1666560135,2625,14,0,601,807.2,17249.0,6.0,1.0,0.0,hud-service,normal
1666560240,1534,110,0,2231,931.4,500.4,4778.0,2033.0,0.07,Xorg,normal
1666560270,3882,93,0,2144,175.4,29017.0,2038.0,2113.0,0.01,ostinato,normal
1666560275,1574,46,6,543,565.3,24229.0,6.0,1.0,0.01,named,normal
1666560305,2552,14,0,293,782.8,11589.0,6.0,1.0,0.0,bamfdaemon,normal
1666560340,3767,2079,0,160,18121.0,2837.0,6.0,1.0,0.0,atop,normal
1666560575,3844,14,0,971,287.7,332.0,6.0,1.0,0.03,tcpdump,normal
1666560590,3211,14,0,3075,898.9,59545.0,6.0,1.0,0.02,update-manager,normal
1666560610,3247,17,0,292,884.5,17885.0,6.0,1.0,0.0,gnome-terminal,normal
1666560765,2552,14,0,293,782.8,11589.0,6.0,1.0,0.0,bamfdaemon,normal
1666560860,3349,20542,0,205,174.7,397.4,6.0,29.3,0.04,Web-Content,normal
1666560920,2027,14,0,608,357.2,7517.0,6.0,1.0,0.0,atop,normal
1666561195,2639,14,0,78,883.1,20165.0,6.0,1.0,0.01,unity-panel-se,normal
1666561270,4464,1857,0,160,17821.0,2601.0,10.0,1.0,0.0,atop,normal
1666561530,2901,14,0,48,554.0,5165.0,6.0,1.0,0.0,vmtoolsd,normal
1666561620,3349,12646,0,205,174.7,411.9,6.0,6993.0,0.05,Web-Content,normal
1666561645,3882,14,0,2144,175.4,29233.0,2278.0,2109.0,0.01,ostinato,normal
1666561650,1575,14,0,10427,710.4,24129.0,6.0,1.0,0.01,navigation,normal
1666561695,3769,2079,0,160,18121.0,2845.0,6.0,1.0,0.0,atop,normal
1666561705,3767,2078,0,160,18121.0,2837.0,6.0,1.0,0.0,atop,normal
1666561720,4467,2079,0,160,17813.0,2609.0,6.0,1.0,0.0,atop,normal
1666561840,2552,14,0,293,782.8,11589.0,6.0,1.0,0.0,bamfdaemon,normal
1666561905,2529,14,0,251,78501.0,2561.0,6.0,1.0,0.0,window-stac-b,normal
1666561990,2625,14,0,601,807.2,17249.0,6.0,1.0,0.0,hud-service,normal
1666562105,3882,101,0,2144,175.4,29321.0,6.0,89.0,0.01,ostinato,normal
1666562220,3349,9648,0,205,174.7,434.5,6.0,25985.0,0.05,Web-Content,normal
1666562275,2799,14,0,133,694.1,6585.0,6.0,1.0,0.0,indicator-eyb,normal
1666562305,1431,14,0,59,670.2,2765.0,6.0,1.0,0.0,whoopsie,normal
1666562635,1463,19,0,48,19469.0,889.0,6.0,1.0,0.0,irqbalance,normal
1666562680,2889,47,0,1362,174.4,99061.0,142.0,1.0,0.03,nautilus,normal
1666562860,3885,16,0,990,175.9,13425.0,6.0,1.0,0.0,drone,normal
1666562900,3403,14,0,30,614.1,2793.0,6.0,1.0,0.0,deja-dup-monit,normal
1666562965,4488,14,0,12,173.0,233.0,6.0,1.0,0.0,worer/u256:1,normal
1666563015,2639,14,0,78,883.1,20165.0,6.0,1.0,0.01,unity-panel-se,normal
1666563045,2593,14,0,160,526.6,3869.0,6.0,1.0,0.0,ibus-daemon,normal
1666563065,3768,2081,0,160,18189.0,2813.0,6.0,1.0,0.0,atop,normal
1666563130,4124,14,0,12,173.0,233.0,6.0,1.0,0.0,worer/u256:0,normal
1666563165,2866,76,0,22,174.3,61509.0,38.0,1.0,0.02,compiz,normal
1666563265,1463,19,0,48,19469.0,889.0,6.0,1.0,0.0,irqbalance,normal
1666563370,3767,2081,0,160,18121.0,2837.0,6.0,1.0,0.0,atop,normal
1666563430,3289,14,0,205,175.3,512.1,6.0,73.0,0.08,SLAM,normal
1666563535,4464,2081,0,160,17817.0,2601.0,6.0,1.0,0.0,atop,normal
1666563540,4466,2081,0,160,17809.0,2601.0,6.0,1.0,0.0,atop,normal
1666563765,1575,14,0,10427,710.4,24129.0,6.0,1.0,0.01,navigation,normal
1666563785,3885,65,0,990,175.9,13685.0,6.0,1.0,0.0,drone,normal
1666563890,1911,14,0,44,25517.0,1025.0,6.0,1.0,0.0,master,normal
1666564045,3768,2080,0,160,18189.0,2813.0,6.0,1.0,0.0,atop,normal
1666564080,2845,16,0,18,373.3,2377.0,6.0,1.0,0.0,ibus-engine-si,normal
1666564150,2889,22,0,1362,174.4,99061.0,6.0,1.0,0.03,nautilus,normal
1666564240,4464,2080,0,160,17817.0,2601.0,6.0,1.0,0.0,atop,normal
1666564385,3769,2080,0,160,18121.0,2845.0,6.0,1.0,0.0,atop,normal
1666564420,4465,2080,0,160,17821.0,2597.0,6.0,1.0,0.0,atop,normal
1666564440,1916,14,0,21,27581.0,993.0,6.0,1.0,0.0,picup,normal
1666564450,2590,14,0,133,22585.0,809.0,6.0,1.0,0.0,upstart-dbus-b,normal
1666564585,1463,19,0,48,19469.0,889.0,6.0,1.0,0.0,irqbalance,normal
1666564710,2512,14,0,427,40385.0,2473.0,6.0,1.0,0.0,dbus-daemon,normal
1666564855,2419,14,0,257,40469.0,2421.0,6.0,1.0,0.0,init,normal
1666564905,2866,333,0,22,174.3,61509.0,30.0,1.0,0.02,compiz,normal
1666564940,2552,14,0,293,782.8,11929.0,6.0,1.0,0.0,bamfdaemon,normal
1666564990,4467,2080,0,160,17813.0,2609.0,6.0,1.0,0.0,atop,normal
1666565445,3769,2080,0,160,18121.0,2845.0,6.0,1.0,0.0,atop,normal
1666565455,3767,2080,0,160,18121.0,2837.0,6.0,1.0,0.0,atop,normal
1666565470,4464,2081,0,160,17817.0,2601.0,6.0,1.0,0.0,atop,normal
1666565725,2625,14,0,601,807.2,17249.0,6.0,1.0,0.0,hud-service,normal
1666565760,3770,2081,0,160,18121.0,2841.0,6.0,1.0,0.0,atop,normal
1666566175,3768,2081,0,160,18189.0,2813.0,6.0,1.0,0.0,atop,normal
1666566285,3247,14,0,292,884.5,17925.0,6.0,1.0,0.0,gnome-terminal,normal
1666566395,3289,14,0,205,175.3,512.1,6.0,1.0,0.08,SLAM,normal
1666566405,3349,13457,0,205,174.7,445.1,6.0,21693.0,0.06,Web-Content,normal
1666566480,3767,2081,0,160,18121.0,2837.0,6.0,1.0,0.0,atop,normal
1666566670,1943,14,0,48,332.8,2237.0,6.0,1.0,0.0,vmtoolsd,normal
1666566750,2552,14,0,293,782.8,11929.0,6.0,1.0,0.0,bamfdaemon,normal
1666566955,4464,2080,0,160,17817.0,2605.0,6.0,1.0,0.0,atop,normal
1666567025,3844,14,0,971,287.7,332.0,6.0,1.0,0.03,tcpdump,normal
1666567045,1575,14,0,10427,710.4,24129.0,6.0,1.0,0.01,navigation,normal
1666567065,3885,17,0,990,175.9,13645.0,6.0,357.0,0.0,drone,normal
1666567495,3882,14,0,2144,175.4,30065.0,6.0,1.0,0.01,ostinato,normal
1666567575,4464,2080,0,160,17817.0,2605.0,6.0,1.0,0.0,atop,normal
1666567795,1534,14,0,2231,931.0,500.3,6.0,1.0,0.07,Xorg,normal
1666567895,4467,2080,0,160,17813.0,2609.0,6.0,1.0,0.0,atop,normal
1666568380,3289,14,0,205,175.3,512.6,6.0,1.0,0.08,SLAM,normal
1666568395,3844,14,0,971,287.7,332.0,6.0,1.0,0.03,tcpdump,normal
1666568440,2552,14,0,293,782.8,11929.0,6.0,1.0,0.0,bamfdaemon,normal
1666568515,1760,14,0,24,9653.0,525.0,6.0,1.0,0.0,haveged,normal
1666568615,3768,2081,0,160,18189.0,2813.0,6.0,1.0,0.0,atop,normal
1666568710,3882,15,0,2144,175.4,32225.0,6.0,2161.0,0.01,ostinato,normal
1666568720,2639,16,0,78,883.1,20193.0,6.0,1.0,0.01,unity-panel-se,normal
1666568995,2552,14,0,293,782.8,11929.0,6.0,1.0,0.0,bamfdaemon,normal
1666569210,3882,14,0,2144,175.4,32225.0,6.0,1.0,0.01,ostinato,normal
1666569270,2901,14,0,48,554.0,5165.0,6.0,1.0,0.0,vmtoolsd,normal
1666569290,3769,2082,0,160,18121.0,2845.0,6.0,1.0,0.0,atop,normal
1666569335,2417,29,5,881,535.1,2489.0,6.0,1.0,0.0,gnome-eyring-,normal
1666569485,2676,14,0,166,710.9,9005.0,6.0,1.0,0.0,ibus-ui-gt3,normal
1666569645,4521,469,0,12,173.0,233.0,6.0,1.0,0.0,<dumpcap>,normal
1666569720,3247,14,0,292,884.5,17885.0,6.0,41.0,0.0,gnome-terminal,normal
1666569810,2975,14,0,81,452.3,4381.0,6.0,5.0,0.0,gvfs-afc-volum,normal
1666569815,3271,14,0,968,27481.0,3981.0,6.0,13.0,0.0,bash,normal
1666569865,1431,14,0,59,670.2,2753.0,6.0,13.0,0.0,whoopsie,normal
1666569885,4465,2092,0,160,17821.0,2605.0,6.0,5.0,0.0,atop,normal
1666569980,2218,14,0,65,338.0,1021.0,6.0,205.0,0.0,rtit-daemon,normal
1666570035,2101,14,0,608,357.3,437.0,6.0,1137.0,0.0,atop,normal
