ts,PID,RDDSK,WRDSK,WCANCL,DSK,CMD,class
1666541715,11115,0.0,0,0,0.0,<cp>,normal
1666541765,11125,0.0,0,0,0.0,<modinfo>,normal
1666541830,11138,0.0,0,0,0.0,<mkdir>,normal
1666541850,11142,0.0,0,0,0.0,<cp>,normal
1666541865,3840,0.0,4,0,0.01,atop,normal
1666541890,2960,0.0,0,0,0.0,nautilus,normal
1666541915,2098,0.0,0,0,0.0,atop,normal
1666541940,2623,0.0,0,0,0.0,bamfdaemon,normal
1666541985,11169,0.0,0,0,0.0,<cp>,normal
1666541995,11171,0.0,0,0,0.0,<mkdir>,normal
1666542065,11185,0.0,0,0,0.0,<modinfo>,normal
1666542125,2956,0.0,0,0,0.0,polit-gnome-a,normal
1666542130,3005,0.0,0,0,0.0,mission-contro,normal
1666542280,11228,0.0,0,0,0.0,<mkdir>,normal
1666542285,11229,0.0,0,0,0.0,<cp>,normal
1666542475,11267,0.0,0,0,0.0,<mkdir>,normal
1666542535,1534,0.0,0,0,0.0,irqbalance,normal
1666542645,2960,0.0,0,0,0.0,nautilus,normal
1666542675,11309,0.0,0,0,0.0,<cp>,normal
1666542835,11341,0.0,0,0,0.0,<modinfo>,normal
1666542845,11343,0.0,0,0,0.0,<cp>,normal
1666542850,11344,0.0,0,0,0.0,<modinfo>,normal
1666542875,11349,0.0,0,0,0.0,<cp>,normal
1666542880,2913,0.0,0,0,0.0,worer/3:2,normal
1666542930,3841,0.0,12,0,0.0,atop,normal
1666542940,11362,0.0,0,0,0.0,<modinfo>,normal
1666542965,3956,0.0,0,0,0.0,drone,normal
1666543045,11383,0.0,0,0,0.0,<mkdir>,normal
1666543120,11398,0.0,0,0,0.0,<mkdir>,normal
1666543160,11406,0.0,0,0,0.0,<mkdir>,normal
1666543190,3840,0.0,0,0,0.0,atop,normal
1666543200,11414,0.0,0,0,0.0,<modinfo>,normal
1666543220,11418,0.0,0,0,0.0,<mkdir>,normal
1666543280,11430,0.0,0,0,0.0,<cp>,normal
1666543330,3838,0.0,0,0,0.0,atop,normal
1666543345,11443,0.0,0,0,0.0,<modinfo>,normal
1666543530,11480,0.0,0,0,0.0,<modinfo>,normal
1666543535,11481,0.0,0,0,0.0,<mkdir>,normal
1666543610,11496,0.0,0,0,0.0,<mkdir>,normal
1666543705,11515,0.0,0,0,0.0,<cp>,normal
1666543770,11528,0.0,0,0,0.0,<cp>,normal
1666543815,11537,0.0,0,0,0.0,<cp>,normal
1666543845,11543,0.0,0,0,0.0,<modinfo>,normal
1666543855,11545,0.0,0,0,0.0,<cp>,normal
1666544120,11598,0.0,0,0,0.0,<mkdir>,normal
1666544160,11606,0.0,0,0,0.0,<modinfo>,normal
1666544200,11614,0.0,0,0,0.0,<cp>,normal
1666544210,11616,0.0,0,0,0.0,<mkdir>,normal
1666544380,11650,0.0,0,0,0.0,<mkdir>,normal
1666544420,11658,0.0,0,0,0.0,<mkdir>,normal
1666544500,11674,0.0,0,0,0.0,<cp>,normal
1666544505,11675,0.0,0,0,0.0,<mkdir>,normal
1666544550,11684,0.0,0,0,0.0,<cp>,normal
1666544635,11701,0.0,0,0,0.0,<mkdir>,normal
1666544750,11724,0.0,0,0,0.0,<cp>,normal
1666544755,11725,0.0,0,0,0.0,<modinfo>,normal
1666544905,11761,0.0,0,0,0.0,<mkdir>,normal
1666545150,11813,0.0,0,0,0.0,<mkdir>,normal
1666545155,11814,0.0,0,0,0.0,<cp>,normal
1666545230,11832,0.0,0,0,0.0,<mkdir>,normal
1666545375,11861,0.0,0,0,0.0,<mkdir>,normal
1666545640,11914,0.0,0,0,0.0,<cp>,normal
1666545670,11920,0.0,0,0,0.0,<cp>,normal
1666546010,11990,0.0,0,0,0.0,<cp>,normal
1666546100,12008,0.0,0,0,0.0,<mkdir>,normal
1666546115,12011,0.0,0,0,0.0,<mkdir>,normal
1666546390,12066,0.0,0,0,0.0,<cp>,normal
1666546445,12077,0.0,0,0,0.0,<mkdir>,normal
1666546470,12082,0.0,0,0,0.0,<modinfo>,normal
1666546980,12184,0.0,0,0,0.0,<modinfo>,normal
1666547050,12198,0.0,0,0,0.0,<cp>,normal
1666547080,12204,0.0,0,0,0.0,<cp>,normal
1666547140,12216,0.0,0,0,0.0,<cp>,normal
1666547165,12221,0.0,0,0,0.0,<mkdir>,normal
1666547235,12235,0.0,0,0,0.0,<modinfo>,normal
1666547240,12236,0.0,0,0,0.0,<mkdir>,normal
1666547290,12246,0.0,0,0,0.0,<cp>,normal
1666547305,12249,0.0,0,0,0.0,<cp>,normal
1666547560,12300,0.0,0,0,0.0,<cp>,normal
1666547720,12332,0.0,0,0,0.0,<mkdir>,normal
1666547750,12338,0.0,0,0,0.0,<mkdir>,normal
1666547755,12339,0.0,0,0,0.0,<cp>,normal
1666547835,12356,0.0,0,0,0.0,<modinfo>,normal
1666547850,12359,0.0,0,0,0.0,<modinfo>,normal
1666547925,12375,0.0,0,0,0.0,<mkdir>,normal
1666548170,12426,0.0,0,0,0.0,<cp>,normal
1666548405,11727,0.0,0,0,0.0,<cp>,normal
1666548465,11954,0.0,0,0,0.0,<cp>,normal
1666548770,10194,0.0,0,0,0.0,<mkdir>,normal
1666548875,10215,0.0,0,0,0.0,<mkdir>,normal
1666548930,10226,0.0,0,0,0.0,<modinfo>,normal
1666548945,10229,0.0,0,0,0.0,<modinfo>,normal
1666548975,10235,0.0,0,0,0.0,<modinfo>,normal
1666549115,10263,0.0,0,0,0.0,<mkdir>,normal
1666549175,10275,0.0,0,0,0.0,<mkdir>,normal
1666549300,10300,0.0,0,0,0.0,<cp>,normal
1666549355,10311,0.0,0,0,0.0,<mkdir>,normal
1666549385,10317,0.0,0,0,0.0,<mkdir>,normal
1666549415,10323,0.0,0,0,0.0,<mkdir>,normal
1666549560,10353,0.0,0,0,0.0,<modinfo>,normal
1666549565,10354,0.0,0,0,0.0,<mkdir>,normal
1666549625,10366,0.0,0,0,0.0,<mkdir>,normal
1666549715,10384,0.0,0,0,0.0,<mkdir>,normal
1666549725,10386,0.0,0,0,0.0,<modinfo>,normal
1666549730,10387,0.0,0,0,0.0,<mkdir>,normal
1666549795,10400,0.0,0,0,0.0,<cp>,normal
1666549865,10414,0.0,0,0,0.0,<mkdir>,normal
1666549875,10416,0.0,0,0,0.0,<modinfo>,normal
1666549885,10418,0.0,0,0,0.0,<cp>,normal
1666549930,10427,0.0,0,0,0.0,<cp>,normal
1666549975,10436,0.0,0,0,0.0,<cp>,normal
1666550080,10457,0.0,0,0,0.0,<cp>,normal
1666550170,10476,0.0,0,0,0.0,<cp>,normal
1666550240,10467,0.0,0,0,0.0,<mkinitramfs>,normal
1666550245,10490,0.0,0,0,0.0,<find>,normal
1666550365,10515,0.0,0,0,0.0,<mkdir>,normal
1666550370,10516,0.0,0,0,0.0,<cp>,normal
1666550380,10518,0.0,0,0,0.0,<mkdir>,normal
1666550405,10523,0.0,0,0,0.0,<modinfo>,normal
1666550425,10527,0.0,0,0,0.0,<mkdir>,normal
1666550515,10545,0.0,0,0,0.0,<mkdir>,normal
1666550555,10553,0.0,0,0,0.0,<modinfo>,normal
1666550745,10591,0.0,0,0,0.0,<cp>,normal
1666551035,10649,0.0,0,0,0.0,<modinfo>,normal
1666551245,10692,0.0,0,0,0.0,<modinfo>,normal
1666551295,10703,0.0,0,0,0.0,<mkdir>,normal
1666551335,10711,0.0,0,0,0.0,<modinfo>,normal
1666551355,10715,0.0,0,0,0.0,<mkdir>,normal
1666551455,10735,0.0,0,0,0.0,<cp>,normal
1666551950,10834,0.0,0,0,0.0,<cp>,normal
1666552240,10892,0.0,0,0,0.0,<modinfo>,normal
1666552510,10946,0.0,0,0,0.0,<modinfo>,normal
1666552670,10978,0.0,0,0,0.0,<cp>,normal
1666552855,11016,0.0,0,0,0.0,<modinfo>,normal
1666552870,11019,0.0,0,0,0.0,<modinfo>,normal
1666552965,11038,0.0,0,0,0.0,<modinfo>,normal
1666553180,11081,0.0,0,0,0.0,<mkdir>,normal
1666553385,11122,0.0,0,0,0.0,<modinfo>,normal
1666553430,11131,0.0,0,0,0.0,<modinfo>,normal
1666553595,11164,0.0,0,0,0.0,<modinfo>,normal
1666553675,11180,0.0,0,0,0.0,<mkdir>,normal
1666553780,11201,0.0,0,0,0.0,<mkdir>,normal
1666553965,11238,0.0,0,0,0.0,<cp>,normal
1666554145,11274,0.0,0,0,0.0,<cp>,normal
1666554185,11284,0.0,0,0,0.0,<cp>,normal
1666554315,11310,0.0,0,0,0.0,<mkdir>,normal
1666554560,11359,0.0,0,0,0.0,<modinfo>,normal
1666554610,11369,0.0,0,0,0.0,<mkdir>,normal
1666554640,11375,0.0,0,0,0.0,<mkdir>,normal
1666554705,11388,0.0,0,0,0.0,<modinfo>,normal
1666554880,11423,0.0,0,0,0.0,<modinfo>,normal
1666555060,11459,0.0,0,0,0.0,<cp>,normal
1666555105,11468,0.0,0,0,0.0,<cp>,normal
1666555225,11492,0.0,0,0,0.0,<modinfo>,normal
1666555435,11534,0.0,0,0,0.0,<cp>,normal
1666555545,11556,0.0,0,0,0.0,<mkdir>,normal
1666555725,11592,0.0,0,0,0.0,<mkdir>,normal
1666555740,11595,0.0,0,0,0.0,<mkdir>,normal
1666555880,11623,0.0,0,0,0.0,<cp>,normal
1666555925,11632,0.0,0,0,0.0,<cp>,normal
1666556055,11658,0.0,0,0,0.0,<mkdir>,normal
1666556075,11662,0.0,0,0,0.0,<ln>,normal
1666556245,11696,0.0,0,0,0.0,<cp>,normal
1666556255,11698,0.0,0,0,0.0,<cp>,normal
1666556365,11720,0.0,0,0,0.0,<mkdir>,normal
1666556415,11731,0.0,0,0,0.0,<mkdir>,normal
1666556665,11789,0.0,0,0,0.0,<cp>,normal
1666556770,11810,0.0,0,0,0.0,<cp>,normal
1666556790,11814,0.0,0,0,0.0,<cp>,normal
1666557075,11874,0.0,0,0,0.0,<cp>,normal
1666557210,11901,0.0,0,0,0.0,<mkdir>,normal
1666557330,11925,0.0,0,0,0.0,<modinfo>,normal
1666557480,11957,0.0,0,0,0.0,<cp>,normal
1666557615,11984,0.0,0,0,0.0,<cp>,normal
1666557625,11986,0.0,0,0,0.0,<mkdir>,normal
1666557840,12029,0.0,0,0,0.0,<mkdir>,normal
1666557950,12051,0.0,0,0,0.0,<cp>,normal
1666558435,12148,0.0,0,0,0.0,<modinfo>,normal
1666558775,12216,0.0,0,0,0.0,<cp>,normal
1666558840,12229,0.0,0,0,0.0,<modinfo>,normal
1666558960,12253,0.0,0,0,0.0,<modinfo>,normal
1666559110,12283,0.0,0,0,0.0,<modinfo>,normal
1666559180,12297,0.0,0,0,0.0,<cp>,normal
1666559340,12329,0.0,0,0,0.0,<mkdir>,normal
1666559375,12336,0.0,0,0,0.0,<cp>,normal
1666559405,12342,0.0,0,0,0.0,<cp>,normal
1666559630,12389,0.0,0,0,0.0,<mkdir>,normal
1666559750,12415,0.0,0,0,0.0,<modinfo>,normal
1666559800,12425,0.0,0,0,0.0,<mkdir>,normal
1666559935,12452,0.0,0,0,0.0,<mkdir>,normal
1666560010,12469,0.0,0,0,0.0,<modinfo>,normal
1666560190,12505,0.0,0,0,0.0,<mkdir>,normal
1666560240,12515,0.0,0,0,0.0,<mkdir>,normal
1666560330,12533,0.0,0,0,0.0,<mkdir>,normal
1666560430,12553,0.0,0,0,0.0,<modinfo>,normal
1666560895,12646,0.0,0,0,0.0,<modinfo>,normal
1666561030,12673,0.0,0,0,0.0,<mkdir>,normal
1666561035,12674,0.0,0,0,0.0,<cp>,normal
1666561095,12686,0.0,0,0,0.0,<modinfo>,normal
1666561375,12743,0.0,0,0,0.0,<cp>,normal
1666561405,12749,0.0,0,0,0.0,<cp>,normal
1666561545,12777,0.0,0,0,0.0,<modinfo>,normal
1666561585,12785,0.0,0,0,0.0,<cp>,normal
1666561660,12800,0.0,0,0,0.0,<cp>,normal
1666561675,12803,0.0,0,0,0.0,<cp>,normal
1666561875,12845,0.0,0,0,0.0,<mkdir>,normal
1666561980,12866,0.0,0,0,0.0,<modinfo>,normal
1666562455,12961,0.0,0,0,0.0,<cp>,normal
1666562490,12968,0.0,0,0,0.0,<modinfo>,normal
1666562510,12972,0.0,0,0,0.0,<mkdir>,normal
1666562625,12995,0.0,0,0,0.0,<modinfo>,normal
1666562675,13005,0.0,0,0,0.0,<mkdir>,normal
1666562770,13024,0.0,0,0,0.0,<cp>,normal
1666562860,13044,0.0,0,0,0.0,<modprobe>,normal
1666563300,13130,0.0,0,0,0.0,<modprobe>,normal
1666563375,13147,0.0,0,0,0.0,<modinfo>,normal
1666563405,13153,0.0,0,0,0.0,<modinfo>,normal
1666563530,13178,0.0,0,0,0.0,<mkdir>,normal
1666563665,13206,0.0,0,0,0.0,<cp>,normal
1666563790,13235,0.0,0,0,0.0,<mkdir>,normal
1666563800,13237,0.0,0,0,0.0,<modinfo>,normal
1666563910,13260,0.0,0,0,0.0,<cp>,normal
1666564050,13288,0.0,0,0,0.0,<modinfo>,normal
1666564120,13304,0.0,0,0,0.0,<modinfo>,normal
1666564130,13306,0.0,0,0,0.0,<cp>,normal
1666564235,13326,0.0,0,0,0.0,<cp>,normal
1666564295,13338,0.0,0,0,0.0,<sed>,normal
1666564310,13341,0.0,0,0,0.0,<dirname>,normal
1666564460,13371,0.0,0,0,0.0,<sed>,normal
1666564545,13388,0.0,0,0,0.0,<cp>,normal
1666564645,13409,0.0,0,0,0.0,<cp>,normal
1666564675,13413,0.0,0,0,0.0,<mkinitramfs>,normal
1666564715,13425,0.0,0,0,0.0,<mkinitramfs>,normal
1666564740,13429,0.0,0,0,0.0,<ln>,normal
1666565110,13504,0.0,0,0,0.0,<sed>,normal
1666565185,13513,0.0,0,0,0.0,<sed>,normal
1666565750,13634,0.0,0,0,0.0,<brltty>,normal
1666565910,13666,0.0,0,0,0.0,<udev>,normal
1666565955,13673,0.0,0,0,0.0,<dpkg>,normal
1666566225,13728,0.0,0,0,0.0,<sed>,normal
1666566245,13729,0.0,0,0,0.0,<fsck>,normal
1666566515,13787,0.0,0,0,0.0,<sed>,normal
1666566680,13820,0.0,0,0,0.0,<fsck>,normal
1666566835,13851,0.0,0,0,0.0,<sed>,normal
1666566965,13874,0.0,0,0,0.0,<fsck>,normal
1666567070,13898,0.0,0,0,0.0,<fsck>,normal
1666567245,13933,0.0,0,0,0.0,<sed>,normal
1666567545,13994,0.0,0,0,0.0,<sed>,normal
1666567795,14041,0.0,0,0,0.0,<udev>,normal
1666567815,14048,0.0,0,0,0.0,<udev>,normal
1666568020,14089,0.0,0,0,0.0,<sed>,normal
1666568115,14105,0.0,0,0,0.0,<udev>,normal
1666568220,14126,0.0,0,0,0.0,<udev>,normal
1666568245,14134,0.0,0,0,0.0,<sed>,normal
1666568325,14147,0.0,0,0,0.0,<udev>,normal
1666568340,14150,0.0,0,0,0.0,<udev>,normal
1666568870,14259,0.0,0,0,0.0,<cp>,normal
1666569245,14334,0.0,0,0,0.0,<ln>,normal
1666569410,14367,0.0,0,0,0.0,<ln>,normal
1666569580,14397,0.0,0,0,0.0,<sed>,normal
1666569770,14442,0.0,0,0,0.0,<zz-dhclient>,normal
1666569890,14467,0.0,0,0,0.0,<zz-dhclient>,normal
1666569895,14468,0.0,0,0,0.0,<sed>,normal
1666570010,14483,0.0,0,0,0.0,<ntfs_3g>,normal
1666570045,14499,0.0,0,0,0.0,<ntfs_3g>,normal
1666570055,14498,0.0,0,0,0.0,<ntfs_3g>,normal
1666570075,14505,0.0,0,0,0.0,<ntfs_3g>,normal
1666570080,14506,0.0,0,0,0.0,<sed>,normal
1666570275,14547,0.0,0,0,0.0,<ld-linux-x86>,normal
1666570465,14580,0.0,0,0,0.0,<kbd>,normal
1666570515,14595,0.0,0,0,0.0,<ldd>,normal
1666570725,14634,0.0,0,0,0.0,<mkdir>,normal
1666570790,14645,0.0,0,0,0.0,<fixrtc>,normal
1666570795,14649,0.0,0,0,0.0,<fixrtc>,normal
1666570815,14652,0.0,0,0,0.0,<readlink>,normal
1666570820,14653,0.0,0,0,0.0,<ln>,normal
1666570845,14660,0.0,0,0,0.0,<fixrtc>,normal
1666570850,14661,0.0,0,0,0.0,<sed>,normal
1666570940,14676,0.0,0,0,0.0,<fixrtc>,normal
1666570955,14679,0.0,0,0,0.0,<fixrtc>,normal
1666571045,14694,0.0,0,0,0.0,<sed>,normal
1666571160,14723,0.0,0,0,0.0,<fixrtc>,normal
1666571165,14724,0.0,0,0,0.0,<sed>,normal
1666571185,14725,0.0,0,0,0.0,<fixrtc>,normal
1666571220,14735,0.0,0,0,0.0,<fixrtc>,normal
1666571345,14762,0.0,0,0,0.0,<ld-linux-x86>,normal
1666571420,14775,0.0,0,0,0.0,<dmsetup>,normal
1666571485,14788,0.0,0,0,0.0,<sed>,normal
1666571610,14810,0.0,0,0,0.0,<dmsetup>,normal
1666571765,14845,0.0,0,0,0.0,<mkinitramfs>,normal
1666571825,14857,0.0,0,0,0.0,<resume>,normal
1666571870,14866,0.0,0,0,0.0,<mkinitramfs>,normal
1666571880,14868,0.0,0,0,0.0,<mkinitramfs>,normal
1666572295,13420,0.0,0,0,0.0,<cp>,normal
1666572305,12468,0.0,0,0,0.0,<cp>,normal
1666572340,15069,0.0,0,0,0.0,<10_linux>,normal
1666572345,12459,0.0,0,0,0.0,<cp>,normal
1666572350,12806,0.0,0,0,0.0,<cp>,normal
1666572400,15520,0.0,0,0,0.0,<grub-probe>,normal
1666572465,12470,0.0,0,0,0.0,<mkdir>,normal
1666572505,12478,0.0,0,0,0.0,<modinfo>,normal
1666572765,12530,0.0,0,0,0.0,<mkdir>,normal
1666572915,12560,0.0,0,0,0.0,<mkdir>,normal
1666572980,12573,0.0,0,0,0.0,<cp>,normal
1666573040,12585,0.0,0,0,0.0,<cp>,normal
1666573170,12611,0.0,0,0,0.0,<mkdir>,normal
1666573260,12629,0.0,0,0,0.0,<mkdir>,normal
1666573570,12691,0.0,0,0,0.0,<cp>,normal
1666573670,12712,0.0,0,0,0.0,<mkdir>,normal
1666573980,12774,0.0,0,0,0.0,<modinfo>,normal
1666574160,12811,0.0,0,0,0.0,<mkdir>,normal
1666574345,12849,0.0,0,0,0.0,<cp>,normal
1666574450,12870,0.0,0,0,0.0,<mkdir>,normal
1666574485,12877,0.0,0,0,0.0,<cp>,normal
1666574520,12884,0.0,0,0,0.0,<modinfo>,normal
1666574650,12910,0.0,0,0,0.0,<cp>,normal
1666574655,12911,0.0,0,0,0.0,<modinfo>,normal
1666574695,12919,0.0,0,0,0.0,<cp>,normal
1666574770,12934,0.0,0,0,0.0,<cp>,normal
1666574960,12972,0.0,0,0,0.0,<mkdir>,normal
1666575100,13000,0.0,0,0,0.0,<cp>,normal
1666575230,13026,0.0,0,0,0.0,<mkdir>,normal
1666575270,13034,0.0,0,0,0.0,<modinfo>,normal
1666575295,13039,0.0,0,0,0.0,<cp>,normal
1666575550,13091,0.0,0,0,0.0,<cp>,normal
1666575665,13114,0.0,0,0,0.0,<mkdir>,normal
1666575760,13134,0.0,0,0,0.0,<cp>,normal
1666575905,13163,0.0,0,0,0.0,<cp>,normal
1666576075,13197,0.0,0,0,0.0,<cp>,normal
1666576285,13244,0.0,0,0,0.0,<mkdir>,normal
1666576390,13266,0.0,0,0,0.0,<cp>,normal
1666576395,13267,0.0,0,0,0.0,<modinfo>,normal
1666576410,13270,0.0,0,0,0.0,<modinfo>,normal
1666576425,13273,0.0,0,0,0.0,<modinfo>,normal
1666576485,13285,0.0,0,0,0.0,<modinfo>,normal
1666576520,13292,0.0,0,0,0.0,<mkdir>,normal
1666576535,13298,0.0,0,0,0.0,<cat>,normal
1666576660,13321,0.0,0,0,0.0,<dirname>,normal
1666577035,13391,0.0,0,0,0.0,<sed>,normal
1666577095,13409,0.0,0,0,0.0,<cp>,normal
1666577150,13422,0.0,0,0,0.0,<mkinitramfs>,normal
1666577255,13442,0.0,0,0,0.0,<cp>,normal
1666577335,13458,0.0,0,0,0.0,<cp>,normal
1666577365,13465,0.0,0,0,0.0,<ldd>,normal
1666577585,13508,0.0,0,0,0.0,<mkdir>,normal
1666577655,13520,0.0,0,0,0.0,<mkinitramfs>,normal
1666577875,13566,0.0,0,0,0.0,<mkdir>,normal
1666577950,13581,0.0,0,0,0.0,<cp>,normal
1666578465,13686,0.0,0,0,0.0,<find>,normal
1666578495,13691,0.0,0,0,0.0,<dpkg>,normal
1666578510,13693,0.0,0,0,0.0,<sed>,normal
1666578525,13695,0.0,0,0,0.0,<compcache>,normal
1666578560,13709,0.0,0,0,0.0,<blkid>,normal
1666578675,13728,0.0,0,0,0.0,<sed>,normal
1666578690,13731,0.0,0,0,0.0,<sed>,normal
1666578910,13776,0.0,0,0,0.0,<sed>,normal
1666578915,13774,0.0,0,0,0.0,<fsck>,normal
1666578975,13789,0.0,0,0,0.0,<fsck>,normal
1666579080,13809,0.0,0,0,0.0,<cp>,normal
1666579090,13813,0.0,0,0,0.0,<ldd>,normal
1666579175,13829,0.0,0,0,0.0,<fsck>,normal
1666579240,13844,0.0,0,0,0.0,<ldd>,normal
1666579325,13859,0.0,0,0,0.0,<sed>,normal
1666579405,13875,0.0,0,0,0.0,<fsck>,normal
1666579440,13882,0.0,0,0,0.0,<sed>,normal
1666579535,13901,0.0,0,0,0.0,<fsck>,normal
1666579600,13917,0.0,0,0,0.0,<ld-linux-x86>,normal
1666579650,13924,0.0,0,0,0.0,<sed>,normal
1666579960,13987,0.0,0,0,0.0,<udev>,normal
1666580175,14030,0.0,0,0,0.0,<udev>,normal
1666580190,14033,0.0,0,0,0.0,<udev>,normal
1666580255,14046,0.0,0,0,0.0,<sed>,normal
1666580645,14124,0.0,0,0,0.0,<udev>,normal
1666580755,14146,0.0,0,0,0.0,<sed>,normal
1666580770,14149,0.0,0,0,0.0,<sed>,normal
1666580830,14159,0.0,0,0,0.0,<find>,normal
1666580860,14166,0.0,0,0,0.0,<cp>,normal
1666581125,14217,0.0,0,0,0.0,<udev>,normal
1666581160,14229,0.0,0,0,0.0,<ldd>,normal
1666581260,14247,0.0,0,0,0.0,<udev>,normal
1666581435,14282,0.0,0,0,0.0,<ln>,normal
1666581440,14283,0.0,0,0,0.0,<ln>,normal
1666581615,14318,0.0,0,0,0.0,<ln>,normal
1666581735,14342,0.0,0,0,0.0,<ln>,normal
1666581760,14347,0.0,0,0,0.0,<ln>,normal
1666581830,14361,0.0,0,0,0.0,<ln>,normal
1666581895,14380,0.0,0,0,0.0,<ld-linux-x86>,normal
1666581910,14373,0.0,0,0,0.0,<ldd>,normal
1666581935,14381,0.0,0,0,0.0,<zz-dhclient>,normal
