ts,PID,TRUN,TSLPI,TSLPU,POLI,NICE,PRI,RTPR,CPUNR,Status,EXC,State,CPU,CMD,class
1666557430,1463,0,1,0,norm,0,122,0,1,-,0,S,0.0,irqbalance,normal
1666557515,2625,0,4,0,norm,0,122,0,2,-,0,S,0.01,hud-service,normal
1666557660,1760,0,1,0,norm,0,122,0,2,-,0,S,0.0,haveged,normal
1666557935,2889,0,5,0,norm,0,122,0,0,-,0,S,0.02,nautilus,normal
1666557995,2593,0,3,0,norm,0,122,0,0,-,0,S,0.0,ibus-daemon,normal
1666558025,3079,0,2,0,norm,0,122,0,2,-,0,S,0.0,zeitgeist-daem,normal
1666558175,3885,1,11,0,norm,0,122,0,1,-,0,S,1.0,drone,normal
1666558190,2866,0,8,0,norm,0,122,0,1,-,0,S,0.11,compiz,normal
1666558330,2893,0,8,0,norm,0,122,0,3,-,0,S,0.0,tracker-store,normal
1666558335,3178,0,4,0,norm,0,122,0,3,-,0,S,0.0,update-notifie,normal
1666558385,3882,0,3,0,norm,0,122,0,1,-,0,S,0.02,ostinato,normal
1666558530,1463,0,1,0,norm,0,122,0,1,-,0,S,0.0,irqbalance,normal
1666558580,3769,0,1,0,norm,20,102,0,0,-,0,S,0.01,atop,normal
1666558715,1534,0,1,0,norm,0,122,0,2,-,0,S,0.06,Xorg,normal
1666558930,4464,0,1,0,norm,20,102,0,2,-,0,S,0.01,atop,normal
1666558950,2889,0,5,0,norm,0,122,0,2,-,0,S,0.0,nautilus,normal
1666559020,3349,1,21,0,norm,0,122,0,3,-,0,R,0.12,Web-Content,normal
1666559040,4465,0,1,0,norm,20,102,0,3,-,0,S,0.01,atop,normal
1666559170,3882,0,3,0,norm,0,122,0,0,-,0,S,0.01,ostinato,normal
1666559210,4466,0,1,0,norm,20,102,0,2,-,0,S,0.01,atop,normal
1666559235,1574,0,7,0,norm,0,122,0,1,-,0,S,0.0,named,normal
1666559300,3349,0,22,0,norm,0,122,0,3,-,0,S,0.13,Web-Content,normal
1666559440,1534,0,1,0,norm,0,122,0,3,-,0,S,0.1,Xorg,normal
1666559450,2866,0,8,0,norm,0,122,0,3,-,0,S,0.02,compiz,normal
1666559455,3247,0,4,0,norm,0,122,0,2,-,0,S,0.02,gnome-terminal,normal
1666559555,3211,0,3,0,norm,10,132,0,3,-,0,S,0.0,update-manager,normal
1666559610,3349,0,22,0,norm,0,122,0,1,-,0,R,0.18,Web-Content,normal
1666559640,4467,1,0,0,norm,20,102,0,1,-,0,R,0.01,atop,normal
1666559660,3768,0,1,0,norm,20,102,0,1,-,0,S,0.01,atop,normal
1666559725,1463,0,1,0,norm,0,122,0,1,-,0,S,0.0,irqbalance,normal
1666559875,2876,0,4,0,norm,0,122,0,3,-,0,S,0.0,goa-daemon,normal
1666560015,2876,0,4,0,norm,0,122,0,3,-,0,S,0.0,goa-daemon,normal
1666560150,2593,0,3,0,norm,0,122,0,2,-,0,S,0.0,ibus-daemon,normal
1666560155,2889,0,5,0,norm,0,122,0,0,-,0,S,0.0,nautilus,normal
1666560160,1574,0,7,0,norm,0,122,0,1,-,0,S,0.0,named,normal
1666560275,3767,0,1,0,norm,20,102,0,0,-,0,S,0.01,atop,normal
1666560330,1575,0,17,0,norm,0,122,0,1,-,0,S,0.0,navigation,normal
1666560340,2625,0,4,0,norm,0,122,0,2,-,0,S,0.0,hud-service,normal
1666560370,3403,0,3,0,norm,0,122,0,0,-,0,S,0.0,deja-dup-monit,normal
1666560410,3882,0,3,0,norm,0,122,0,0,-,0,S,0.02,ostinato,normal
1666560640,2552,0,4,0,norm,0,122,0,1,-,0,S,0.0,bamfdaemon,normal
1666560645,2889,0,5,0,norm,0,122,0,0,-,0,S,0.0,nautilus,normal
1666560665,2593,0,3,0,norm,0,122,0,2,-,0,S,0.0,ibus-daemon,normal
1666560855,1534,0,1,0,norm,0,122,0,0,-,0,S,0.03,Xorg,normal
1666560860,3882,0,3,0,norm,0,122,0,0,-,0,S,0.01,ostinato,normal
1666561080,2552,0,4,0,norm,0,122,0,2,-,0,S,0.0,bamfdaemon,normal
1666561200,4466,0,1,0,norm,20,102,0,2,-,0,S,0.01,atop,normal
1666561210,4464,1,0,0,norm,20,102,0,2,-,0,R,0.0,atop,normal
1666561345,3769,0,1,0,norm,20,102,0,1,-,0,S,0.01,atop,normal
1666561355,3768,0,1,0,norm,20,102,0,1,-,0,S,0.01,atop,normal
1666561365,4467,0,1,0,norm,20,102,0,1,-,0,S,0.0,atop,normal
1666561420,2552,0,4,0,norm,0,122,0,1,-,0,S,0.0,bamfdaemon,normal
1666561515,2866,0,8,0,norm,0,122,0,1,-,0,S,0.0,compiz,normal
1666561715,2593,0,3,0,norm,0,122,0,1,-,0,S,0.0,ibus-daemon,normal
1666561790,3349,0,22,0,norm,0,122,0,0,-,0,S,0.12,Web-Content,normal
1666561845,4465,0,1,0,norm,20,102,0,3,-,0,S,0.0,atop,normal
1666562175,2889,0,5,0,norm,0,122,0,0,-,0,S,0.0,nautilus,normal
1666562375,1760,0,1,0,norm,0,122,0,1,-,0,S,0.0,haveged,normal
1666562400,3882,0,3,0,norm,0,122,0,3,-,0,S,0.01,ostinato,normal
1666562415,4464,1,0,0,norm,20,102,0,0,-,0,R,0.01,atop,normal
1666562420,4465,0,1,0,norm,20,102,0,3,-,0,S,0.01,atop,normal
1666562450,3844,0,1,0,norm,0,122,0,0,-,0,S,0.0,tcpdump,normal
1666562680,3349,0,22,0,norm,0,122,0,2,-,0,S,0.22,Web-Content,normal
1666562865,4466,0,1,0,norm,20,102,0,3,-,0,S,0.01,atop,normal
1666562905,3844,0,1,0,norm,0,122,0,3,-,0,S,0.0,tcpdump,normal
1666562925,1574,0,7,0,norm,0,122,0,1,-,0,S,0.0,named,normal
1666563045,4466,1,0,0,norm,20,102,0,3,-,0,R,0.01,atop,normal
1666563105,1574,0,7,0,norm,0,122,0,1,-,0,S,0.0,named,normal
1666563175,3885,0,11,0,norm,0,122,0,1,-,0,S,0.08,drone,normal
1666563475,3768,0,1,0,norm,20,102,0,0,-,0,S,0.01,atop,normal
1666563630,2876,0,4,0,norm,0,122,0,3,-,0,S,0.01,goa-daemon,normal
1666563640,3769,0,1,0,norm,20,102,0,2,-,0,S,0.01,atop,normal
1666563660,3289,0,60,0,norm,0,122,0,3,-,0,S,0.01,SLAM,normal
1666563680,2842,0,1,0,norm,0,122,0,3,-,0,S,0.01,kworker/3:2,normal
1666563730,1463,0,1,0,norm,0,122,0,1,-,0,S,0.0,irqbalance,normal
1666563910,2880,0,5,0,norm,0,122,0,3,-,0,S,0.0,evolution-cale,normal
1666563930,2581,0,2,0,norm,0,122,0,2,-,0,S,0.0,at-spi2-regist,normal
1666563965,3247,0,4,0,norm,0,122,0,3,-,0,S,0.21,gnome-terminal,normal
1666564230,3885,0,11,0,norm,0,122,0,1,-,0,S,0.0,drone,normal
1666564375,3767,0,1,0,norm,20,102,0,3,-,0,S,0.0,atop,normal
1666564445,2593,0,3,0,norm,0,122,0,2,-,0,S,0.0,ibus-daemon,normal
1666564455,1943,0,2,0,norm,0,122,0,2,-,0,S,0.0,vmtoolsd,normal
1666564725,2027,0,1,0,norm,0,122,0,1,-,0,S,0.0,atop,normal
1666564845,3885,0,11,0,norm,0,122,0,1,-,0,S,0.0,drone,normal
1666564860,1943,0,2,0,norm,0,122,0,1,-,0,S,0.0,vmtoolsd,normal
1666565520,1943,0,2,0,norm,0,122,0,2,-,0,S,0.0,vmtoolsd,normal
1666565650,2552,0,4,0,norm,0,122,0,1,-,0,S,0.0,bamfdaemon,normal
1666565670,2901,0,3,0,norm,0,122,0,1,-,0,S,0.0,vmtoolsd,normal
1666565750,4467,0,1,0,norm,20,102,0,1,-,0,S,0.01,atop,normal
1666565990,3349,1,21,0,norm,0,122,0,3,-,0,R,0.12,Web-Content,normal
1666566180,4466,1,0,0,norm,20,102,0,3,-,0,R,0.01,atop,normal
1666566220,1216,0,4,0,norm,0,122,0,3,-,0,S,0.0,NetworkManager,normal
1666566325,4466,0,1,0,norm,20,102,0,3,-,0,S,0.01,atop,normal
1666566340,3844,0,1,0,norm,0,122,0,2,-,0,S,0.0,tcpdump,normal
1666566615,4467,0,1,0,norm,20,102,0,0,-,0,S,0.01,atop,normal
1666566705,1463,0,1,0,norm,0,122,0,1,-,0,S,0.0,irqbalance,normal
1666566715,1760,0,1,0,norm,0,122,0,0,-,0,S,0.0,haveged,normal
1666566820,2639,0,3,0,norm,0,122,0,1,-,0,S,0.0,unity-panel-se,normal
1666567115,4466,1,0,0,norm,20,102,0,3,-,0,R,0.01,atop,normal
1666567235,3767,1,0,0,norm,20,102,0,2,-,0,R,0.02,atop,normal
1666567265,4465,0,1,0,norm,20,102,0,1,-,0,S,0.01,atop,normal
1666567305,4124,0,1,0,norm,0,122,0,0,-,0,S,0.0,kworker/u256:0,normal
1666567910,2901,0,3,0,norm,0,122,0,3,-,0,S,0.0,vmtoolsd,normal
1666567945,2842,0,1,0,norm,0,122,0,3,-,0,S,0.0,kworker/3:2,normal
1666568010,4466,1,0,0,norm,20,102,0,2,-,0,R,0.02,atop,normal
1666568065,2901,0,3,0,norm,0,122,0,3,-,0,S,0.0,vmtoolsd,normal
1666568075,1575,0,17,0,norm,0,122,0,1,-,0,S,0.0,navigation,normal
1666568100,2842,0,1,0,norm,0,122,0,3,-,0,S,0.0,kworker/3:2,normal
1666568125,1760,0,1,0,norm,0,122,0,3,-,0,S,0.0,haveged,normal
1666568305,3770,0,1,0,norm,20,102,0,3,-,0,S,0.01,atop,normal
1666568490,1575,0,17,0,norm,0,122,0,1,-,0,S,0.0,navigation,normal
1666568535,2593,0,3,0,norm,0,122,0,0,-,0,S,0.0,ibus-daemon,normal
1666568775,4508,0,0,0,0,0,2,0,0,NE,0,E,0.01,<pool>,normal
1666568985,2625,0,4,0,norm,0,122,0,1,-,0,S,0.01,hud-service,normal
1666569340,1463,0,1,0,norm,0,122,0,1,-,0,S,0.0,irqbalance,normal
1666569355,4124,0,1,0,norm,0,122,0,2,-,0,S,0.0,kworker/u256:0,normal
1666569555,2901,0,3,0,norm,0,122,0,2,-,0,S,0.0,vmtoolsd,normal
1666569595,1760,0,1,0,norm,0,122,0,0,-,0,S,0.0,haveged,normal
1666569880,2887,0,3,0,norm,0,122,0,1,-,0,S,0.0,nm-applet,normal
1666569900,2789,0,3,0,norm,0,122,0,2,-,0,S,0.0,indicator-prin,normal
1666570230,1943,0,2,0,norm,0,122,0,1,-,0,S,0.0,vmtoolsd,normal
1666570290,2027,0,1,0,norm,0,122,0,2,-,0,S,0.0,atop,normal
1666570320,3271,0,1,0,norm,0,122,0,2,-,0,S,0.0,bash,normal
1666570425,2218,0,3,0,norm,1,123,0,3,-,0,S,0.0,rtkit-daemon,normal
1666570435,2291,0,1,0,norm,0,122,0,0,-,0,S,0.0,getty,normal
1666570460,2098,0,1,0,norm,0,122,0,2,-,0,S,0.0,atop,normal
1666570500,2866,0,8,0,norm,0,122,0,2,-,0,S,0.07,compiz,normal
1666570595,2889,0,4,0,norm,0,122,0,3,-,0,S,0.0,nautilus,normal
1666570610,3438,0,18,0,norm,0,122,0,3,-,0,S,0.0,Web-Content,normal
1666570655,2781,0,6,0,norm,0,122,0,1,-,0,S,0.0,indicator-date,normal
